,zip_code,zip_freq
20599,19382,536
20638,19810,468
20708,19707,96
20740,19060,5
22853,19374,2
22980,19122,625
22990,19079,43
22991,19138,805
23006,19130,1115
23021,19106,590
23031,19121,920
23051,19133,370
23056,19142,730
23083,19132,630
23098,19140,800
23105,19148,1780
23120,19128,1040
23135,19107,450
23150,19050,320
23183,19149,995
23203,19015,392
23217,19102,395
23222,19141,555
23237,19013,2032
23288,19036,74
23294,19070,132
23300,19153,215
23379,19118,160
23404,19026,199
23482,19063,351
23504,19125,1215
23509,19428,111
23510,19131,760
23535,19135,755
23595,19008,98
23606,19123,740
23621,19018,90
23649,19038,112
23685,19027,98
23729,19064,1617
23765,19103,675
23780,19076,54
23971,19081,28
24010,19002,260
24047,19003,318
24144,19096,122
24182,19126,225
24209,19127,290
24219,19087,960
24238,19129,225
24305,19150,400
24668,19086,67
24715,19085,31
24731,19010,90
24732,19094,25
24965,19137,250
25107,19001,54
25241,19034,69
25609,19078,41
25650,19032,33
25732,19046,84
25790,19033,155
25926,19004,31
26669,19066,16
26937,19074,286
27002,19090,128
27412,19403,469
27573,19031,15
27597,19462,53
27743,19095,27
33178,19732,16
33633,19022,5
39827,19730,16
40435,19734,268
40514,19355,820
40622,19301,268
40649,19312,231
41155,19333,82
41714,19380,500
41805,19152,530
42009,19136,785
42151,19115,350
45251,19971,78
45276,19977,672
45319,19901,1988
45719,18902,244
45823,18040,190
45838,18077,6
45916,10282,1
46112,11559,40
46124,11422,204
46140,11580,57
46150,11411,7
46154,11426,26
46155,11516,6
46163,11581,24
46169,11003,47
46203,11001,41
46230,11428,4
46256,11598,74
46449,10044,1
46469,11023,14
46470,11021,49
46475,11020,16
46477,11005,28
46668,11692,2
46742,11030,38
46819,11004,4
46828,11040,71
46962,11415,1
48216,11576,96
48277,11542,26
48279,11507,16
48281,11577,17
48285,11548,7
48292,11545,68
48306,11596,11
48326,11579,6
48753,11550,53
48770,10514,12
48771,10589,48
48774,10566,25
48778,10504,21
49012,12508,248
49014,10524,120
49038,10928,4
49070,10560,8
49093,10598,21
49094,10516,71
49118,10507,6
49119,10549,22
49172,10536,10
49184,10511,6
49309,10506,42
49331,10588,4
49529,10922,1
49614,11530,523
49615,11520,459
49624,11552,35
49625,11570,45
49631,11572,213
49634,11575,105
49641,11557,32
49654,11553,25
49667,11501,69
49690,11514,5
49691,11510,387
49716,11563,43
49745,11518,28
49780,11010,29
49861,11565,21
49892,11568,13
49996,12590,207
50025,12553,58
50027,12550,130
50043,12524,5
50044,12518,34
50069,12542,108
50105,12586,57
50246,12603,283
50258,12601,212
50702,12543,8
50710,10924,180
50750,12548,8
50783,10916,9
50979,10941,204
51049,12790,22
51051,10940,962
51111,12721,20
51143,12566,27
51266,12549,220
51457,10963,16
51585,12428,26
51967,10919,3
52352,12789,20
52355,12775,48
52361,12525,45
52573,12446,45
52576,12779,8
52577,12458,12
52578,12788,8
52580,12763,6
52593,12404,32
52627,12440,8
52679,12515,8
52692,12740,9
52724,12528,960
52755,12547,192
53040,11566,67
53042,11758,84
53043,11783,50
53049,11096,4
53053,11103,9
53198,11701,26
53230,11804,8
53237,11793,43
53253,11803,344
53277,11419,4
53282,11735,76
53284,11801,88
53286,11756,104
53330,11746,34
53335,11771,14
53448,11714,48
53455,11590,50
53517,11753,40
53547,11710,47
53548,11762,28
53551,11554,53
53589,11797,104
53667,11791,34
54122,11560,14
54150,11359,3
54303,11743,195
54354,11732,4
54385,11765,2
54399,11747,81
58447,11561,363
58448,11569,1
58532,11509,8
58566,11558,26
60014,11416,2
60188,11429,4
60352,11414,3
60904,11757,118
60907,11726,19
60999,11704,39
61006,11798,10
61079,11709,7
61091,11795,29
61107,11729,153
61364,11740,3
61433,11706,66
61435,11703,19
61631,11731,14
61645,11725,23
61706,11721,16
61733,11768,61
61978,11705,42
61999,11713,10
62007,11715,12
62011,11716,10
62019,11717,70
62039,11718,1
62040,11730,14
62041,11719,16
62111,11722,23
62122,11752,2
62123,11787,38
62160,11769,171
62169,11788,16
62221,11780,5
62222,11754,16
